PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41396016","Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review","Haffner R, Mathew B, Brigo F, Qasim A, Antonio-Arce VS, Ayed HB, Ferlazzo E, Kwon CS, Lim KS, Mitchell JW, Salisu MA, Valente K, Vinayan KP, Josephson CB, Jette N.","Epilepsia. 2026 Mar;67(3):1032-1048. doi: 10.1111/epi.70039. Epub 2025 Dec 15.","Haffner R","Epilepsia","2026","2025/12/15","PMC13007833","","10.1111/epi.70039"
"35444751","An Innovative Skin Simulation Model to Augment Competency-based Training in Facial Plastic Surgery","Tripathy S, Mohapatra DP, Thiruvoth FM, Sharma RK, Reddy L, Thomas N.","Indian J Plast Surg. 2022 Feb 25;55(1):102-106. doi: 10.1055/s-0041-1740083. eCollection 2022 Feb.","Tripathy S","Indian J Plast Surg","2022","2022/04/21","PMC9015840","","10.1055/s-0041-1740083"
"30775133","Leaving a Legacy While Achieving Maximum Impact: JBJS EST Now in PubMed Central","Cheng EY, Swiontkowski MF.","JBJS Essent Surg Tech. 2018 Nov 14;8(4):e28. doi: 10.2106/JBJS.ST.18.00095. eCollection 2018 Dec 26.","Cheng EY","JBJS Essent Surg Tech","2018","2019/02/19","PMC6358337","","10.2106/JBJS.ST.18.00095"
"41515573","Ring-like (Donut-Shaped) Intracranial Aneurysms: A Warning Morphology of Mural Jet Flow and Pre-Rupture Instability","Nestorović D, Savić A, Milenković P, Stojaković M, Švabić T, Nikolić I.","Diagnostics (Basel). 2025 Dec 25;16(1):78. doi: 10.3390/diagnostics16010078.","Nestorović D","Diagnostics (Basel)","2025","2026/01/10","PMC12786235","","10.3390/diagnostics16010078"
"37416030","Efficacy of Externally Paced Training on Pain in Tendinopathy: A Systematic Review and Meta Analysis","Carmody D, Conanan A, Moeller D, Khoblall S, Keating C.","Cureus. 2023 Jun 5;15(6):e39994. doi: 10.7759/cureus.39994. eCollection 2023 Jun.","Carmody D","Cureus","2023","2023/07/07","PMC10322165","","10.7759/cureus.39994"
"42231986","Treatment Options for Chronic Pain After Spine Surgery: A Systematic Review and Meta-Analysis of Interventional, Pharmacological, and Rehabilitative Strategies","Belgaumkar AG, Gaidhankar NT, N V P.","Cureus. 2026 May 1;18(5):e108122. doi: 10.7759/cureus.108122. eCollection 2026 May.","Belgaumkar AG","Cureus","2026","2026/06/03","PMC13223383","","10.7759/cureus.108122"
"40915652","Nonsteroidal Anti-Inflammatory Drugs and Risk of Gastrointestinal Bleeding: A Systematic Review and Meta-Analysis","Tawfik AG, Gomez-Lumbreras A, Del Fiol G, Kawamoto K, Trinkley KE, Reese T, Jones A, Malone DC.","Clin Pharmacol Ther. 2026 Jan;119(1):46-62. doi: 10.1002/cpt.70054. Epub 2025 Sep 7.","Tawfik AG","Clin Pharmacol Ther","2026","2025/09/07","PMC12746519","","10.1002/cpt.70054"
"34499041","Machine Learning Approaches to Retrieve High-Quality, Clinically Relevant Evidence From the Biomedical Literature: Systematic Review","Abdelkader W, Navarro T, Parrish R, Cotoi C, Germini F, Iorio A, Haynes RB, Lokker C.","JMIR Med Inform. 2021 Sep 9;9(9):e30401. doi: 10.2196/30401.","Abdelkader W","JMIR Med Inform","2021","2021/09/09","PMC8461527","","10.2196/30401"
"41793583","Immuno-Inflammatory Mechanisms in the Chronification of Pain","Moncada MAA, Tamayo MAN, Encinas MAN, Leoni MLG, Varrassi G.","Pain Ther. 2026 Apr;15(2):443-464. doi: 10.1007/s40122-026-00818-x. Epub 2026 Mar 7.","Moncada MAA","Pain Ther","2026","2026/03/07","PMC13009338","","10.1007/s40122-026-00818-x"
"","The Journal Investigación y Educación en Enfermería is Indexed in PubMed central","Rodríguez-Gázquez MDLÁ.","Invest Educ Enferm. 2021 Mar 5;39(1):e01. doi: 10.17533/udea.iee.v39n1e01. eCollection 2021 Jan-Apr.","Rodríguez-Gázquez MDLÁ","Invest Educ Enferm","2021","","PMC7987289","","10.17533/udea.iee.v39n1e01"
"38190185","Publication of Results of Registered Trials With Published Study Protocols, 2011-2022","Vorland CJ, Brown AW, Kilicoglu H, Ying X, Mayo-Wilson E.","JAMA Netw Open. 2024 Jan 2;7(1):e2350688. doi: 10.1001/jamanetworkopen.2023.50688.","Vorland CJ","JAMA Netw Open","2024","2024/01/08","PMC10774993","","10.1001/jamanetworkopen.2023.50688"
"38260244","Neuronal subtypes and connectivity of the adult mouse paralaminar amygdala","Saxon D, Alderman PJ, Sorrells SF, Vicini S, Corbin JG.","bioRxiv [Preprint]. 2024 Jan 12:2024.01.11.575250. doi: 10.1101/2024.01.11.575250.","Saxon D","bioRxiv","2024","2024/01/23","PMC10802617","","10.1101/2024.01.11.575250"
"41827400","Epithelial Thickness Changes After Descemet Membrane Endothelial Keratoplasty (DMEK): An Observational Study","Levy I, Habib L, Morgan S, Mukhija R, Nanavaty MA.","J Clin Med. 2026 Mar 5;15(5):1984. doi: 10.3390/jcm15051984.","Levy I","J Clin Med","2026","2026/03/14","PMC12985463","","10.3390/jcm15051984"
"38620540","Ultrasound-guided central venous catheterization amid the COVID-19 outbreak: 'Revisiting protocols'","Dixit P, Sirohiya P, Ratre BK.","Trends Anaesth Crit Care. 2020 Oct;34:42-43. doi: 10.1016/j.tacc.2020.06.009. Epub 2020 Jun 26.","Dixit P","Trends Anaesth Crit Care","2020","2024/04/15","PMC7318921","","10.1016/j.tacc.2020.06.009"
"40059912","A Review of Dietary and Lifestyle Management of Pre-Eclampsia and Postpartum Eclampsia","Nadeem M, Javed K, Abid HMR, Hussain A, Khalid N.","Prev Nutr Food Sci. 2025 Feb 28;30(1):1-20. doi: 10.3746/pnf.2025.30.1.1.","Nadeem M","Prev Nutr Food Sci","2025","2025/03/10","PMC11884944","","10.3746/pnf.2025.30.1.1"
"32757989","Associations between human leukocyte antigen C locus polymorphism and psoriatic arthritis in populations of European and Middle Eastern descent: a meta-analysis","Shao LN, Wang N, Zhou SH, Wang Z.","Ann Saudi Med. 2020 Jul-Aug;40(4):338-346. doi: 10.5144/0256-4947.2020.338. Epub 2020 Aug 6.","Shao LN","Ann Saudi Med","2020","2020/08/08","PMC7410226","","10.5144/0256-4947.2020.338"
"25789152","Database citation in supplementary data linked to Europe PubMed Central full text biomedical articles","Kafkas Ş, Kim JH, Pi X, McEntyre JR.","J Biomed Semantics. 2015 Jan 5;6:1. doi: 10.1186/2041-1480-6-1. eCollection 2015.","Kafkas Ş","J Biomed Semantics","2015","2015/03/20","PMC4363206","","10.1186/2041-1480-6-1"
"35264997","The Influence of Family Socioeconomic Status on Primary School Students' Emotional Intelligence: The Mediating Effect of Parenting Styles and Regional Differences","Liu Z, Wu G.","Front Psychol. 2022 Feb 21;13:753774. doi: 10.3389/fpsyg.2022.753774. eCollection 2022.","Liu Z","Front Psychol","2022","2022/03/10","PMC8901077","","10.3389/fpsyg.2022.753774"
"35492593","Positional Context of Myonuclear Transcription During Injury-Induced Muscle Regeneration","Buckley KH, Nestor-Kalinoski AL, Pizza FX.","Front Physiol. 2022 Mar 23;13:845504. doi: 10.3389/fphys.2022.845504. eCollection 2022.","Buckley KH","Front Physiol","2022","2022/05/02","PMC9040890","","10.3389/fphys.2022.845504"
"36683967","Clonidine use during dexmedetomidine weaning: A systematic review","Rajendraprasad S, Wheeler M, Wieruszewski E, Gottwald J, Wallace LA, Gerberi D, Wieruszewski PM, Smischney NJ.","World J Crit Care Med. 2023 Jan 9;12(1):18-28. doi: 10.5492/wjccm.v12.i1.18. eCollection 2023 Jan 9.","Rajendraprasad S","World J Crit Care Med","2023","2023/01/23","PMC9846870","","10.5492/wjccm.v12.i1.18"
"35509419","Update on the role of naldemedine in opioid-induced constipation in patients with chronic noncancer pain","BouSaba J, Sannaa W, Camilleri M.","Ther Adv Gastroenterol. 2022 Apr 28;15:17562848221078638. doi: 10.1177/17562848221078638. eCollection 2022.","BouSaba J","Ther Adv Gastroenterol","2022","2022/05/05","PMC9058332","","10.1177/17562848221078638"
"36217364","Cluster head selection method of multiple UAVs under COVID-19 situation","Dai J, Hu Q, Liu X, Zhang Y, Zhu J.","Comput Commun. 2022 Dec 1;196:141-147. doi: 10.1016/j.comcom.2022.09.026. Epub 2022 Oct 6.","Dai J","Comput Commun","2022","2022/10/11","PMC9535975","","10.1016/j.comcom.2022.09.026"
"40242808","Organs at risk proximity in central lung stereotactic ablative radiotherapy: A comparison of four-dimensional computed tomography and magnetic resonance-guided breath-hold delivery techniques","Giraud N, Tekatli H, Schneiders FL, van Sornsen de Koste JR, Marzo M, Palacios MA, Senan S.","Phys Imaging Radiat Oncol. 2025 Apr 2;34:100761. doi: 10.1016/j.phro.2025.100761. eCollection 2025 Apr.","Giraud N","Phys Imaging Radiat Oncol","2025","2025/04/17","PMC12002652","","10.1016/j.phro.2025.100761"
"40218724","A 60-GHz Wideband High-Efficiency Circularly Polarized Dual-Coil Antenna Array","Xiao J, Gan Q, Ye Z, Han CZ, Ding T, Ye Q.","Sensors (Basel). 2025 Mar 31;25(7):2211. doi: 10.3390/s25072211.","Xiao J","Sensors (Basel)","2025","2025/04/12","PMC11990941","","10.3390/s25072211"
"37546690","Asymetric Event-Related Potential Priming Effects Between English Letters and American Sign Language Fingerspelling Fonts","Sehyr ZS, Midgley KJ, Emmorey K, Holcomb PJ.","Neurobiol Lang (Camb). 2023 Jun 13;4(2):361-381. doi: 10.1162/nol_a_00104. eCollection 2023.","Sehyr ZS","Neurobiol Lang (Camb)","2023","2023/08/07","PMC10403274","","10.1162/nol_a_00104"
"38712174","Directed differentiation of functional corticospinal-like neurons from endogenous SOX6+/NG2+ cortical progenitors","Ozkan A, Padmanabhan HK, Shipman SL, Azim E, Kumar P, Sadegh C, Basak AN, Macklis JD.","bioRxiv [Preprint]. 2025 Apr 15:2024.04.21.590488. doi: 10.1101/2024.04.21.590488.","Ozkan A","bioRxiv","2025","2024/05/07","PMC11071355","","10.1101/2024.04.21.590488"
"41590934","Chest Radiography Optimization: Identifying the Optimal kV for Image Quality in a Phantom Study","Antonakos I, Kokkinogoulis K, Giannopoulou M, Efstathopoulos EP.","J Imaging. 2026 Jan 21;12(1):49. doi: 10.3390/jimaging12010049.","Antonakos I","J Imaging","2026","2026/01/27","PMC12843376","","10.3390/jimaging12010049"
"40196013","Targeting senescence in Amyotrophic Lateral Sclerosis: senolytic treatment improves neuromuscular function and preserves cortical excitability in a TDP-43(Q331K) mouse model","Viteri JA, Kerr NR, Brennan CD, Kick GR, Wang M, Ketabforoush A, Snyder HK, Moore PJ, Darvishi FB, Dashtmian AR, Ayyagari SN, Rich K, Zhu Y, Arnold WD.","Res Sq [Preprint]. 2025 Mar 26:rs.3.rs-6081213. doi: 10.21203/rs.3.rs-6081213/v1.","Viteri JA","Res Sq","2025","2025/04/08","PMC11975006","","10.21203/rs.3.rs-6081213/v1"
"41303016","Pediatric Burns: Biological and Tissue Engineered Skin Substitutes-A Systematic Review","Susini P, Certini M, Marcaccini G, Mazzotta R, Cuomo R, Nisi G, Grimaldi L, Facchini F.","J Clin Med. 2025 Nov 11;14(22):7981. doi: 10.3390/jcm14227981.","Susini P","J Clin Med","2025","2025/11/27","PMC12653667","","10.3390/jcm14227981"
"41036496","The Relative Contributions of Traits and Contexts on Social Network Learning","Ghouse A, Kaplan R.","Open Mind (Camb). 2025 Sep 9;9:1506-1527. doi: 10.1162/OPMI.a.31. eCollection 2025.","Ghouse A","Open Mind (Camb)","2025","2025/10/02","PMC12483571","","10.1162/OPMI.a.31"
"42255058","Effects of Computer Assisted Design-Computer Assisted Manufacturing Nickel-Titanium Fixed Lingual Retainers Versus Conventional Flexible Multistrand Retainers on Tooth Displacements and Periodontal Ligament Stress Distributions in the Mandibular Anterior Teeth at Four Different Inclinations: A Finite Element Analysis","Daryanavard H, Mazhari M, Mazhary M, Oskouei HG, Moradinejad M, Shahi S, Rakhshan V.","Health Sci Rep. 2026 May 25;9(6):e72216. doi: 10.1002/hsr2.72216. eCollection 2026 Jun.","Daryanavard H","Health Sci Rep","2026","2026/06/08","PMC13240510","","10.1002/hsr2.72216"
"","Mitra-clip in Transthyretin Amyloidosis Cardiomyopathy A Case Series","Cuddy S, Dorbala S, Falk R.","J Card Fail. 2020 Oct;26(10):S161-2. doi: 10.1016/j.cardfail.2020.09.464. Epub 2020 Sep 30.","Cuddy S","J Card Fail","2020","","PMC7527167","","10.1016/j.cardfail.2020.09.464"
"34577569","New Incretin Combination Treatments under Investigation in Obesity and Metabolism: A Systematic Review","Kakouri A, Kanti G, Kapantais E, Kokkinos A, Lanaras L, Farajian P, Galanakis C, Georgantopoulos G, Vlahos NF, Mastorakos G, Bargiota A, Valsamakis G.","Pharmaceuticals (Basel). 2021 Aug 28;14(9):869. doi: 10.3390/ph14090869.","Kakouri A","Pharmaceuticals (Basel)","2021","2021/09/28","PMC8468399","","10.3390/ph14090869"
"41851155","A bioinspired microdevice unifying energy storage and actuation through hydration control","Zhang W, Merces L, Ma J, Becker C, Karnaushenko D, Tang H, Qu J, Ferro LMM, Huang Y, Yan Y, Lee Y, Bandari VK, Karnaushenko DD, Egunov AI, Zhu M, Schmidt OG.","Nat Commun. 2026 Mar 19;17(1):2650. doi: 10.1038/s41467-026-70831-3.","Zhang W","Nat Commun","2026","2026/03/19","PMC13004996","","10.1038/s41467-026-70831-3"
"39233790","Limited content overlap between commonly used self-report instruments for central (pain) sensitization in rheumatology","Ten Klooster PM, Simoes JP, Vonkeman HE.","Rheumatol Adv Pract. 2024 Aug 26;8(3):rkae108. doi: 10.1093/rap/rkae108. eCollection 2024.","Ten Klooster PM","Rheumatol Adv Pract","2024","2024/09/05","PMC11374029","","10.1093/rap/rkae108"
"40686632","Working time distribution and administrative burden in Austrian community health nursing: A cross-sectional survey","Kovacevic RM, Behrens DA, Hyll W.","Int J Nurs Stud Adv. 2025 Jul 6;9:100375. doi: 10.1016/j.ijnsa.2025.100375. eCollection 2025 Dec.","Kovacevic RM","Int J Nurs Stud Adv","2025","2025/07/21","PMC12275876","","10.1016/j.ijnsa.2025.100375"
"41150069","Unraveling Spermatogenesis in Molly Fish (Poecilia sphenops): An Integrative Study of Testicular Ultrastructure and Immunohistochemistry","Mokhtar DM, Zaccone G, Aragona M, Guerrera MC, Alonizan R, Hussein MT.","Vet Sci. 2025 Sep 24;12(10):930. doi: 10.3390/vetsci12100930.","Mokhtar DM","Vet Sci","2025","2025/10/28","PMC12567713","","10.3390/vetsci12100930"
"31289579","The optimal strategy of multimodality therapies for resectable gastric cancer: evidence from a network meta-analysis","Yin S, Wang P, Xu X, Tan Y, Huang J, Xu H.","J Cancer. 2019 Jun 2;10(14):3094-3101. doi: 10.7150/jca.30456. eCollection 2019.","Yin S","J Cancer","2019","2019/07/11","PMC6603377","","10.7150/jca.30456"
"40364006","New Evidence About Malignant Transformation of Endometriosis-A Systematic Review","Ioannidou A, Sakellariou M, Sarli V, Panagopoulos P, Machairiotis N.","J Clin Med. 2025 Apr 25;14(9):2975. doi: 10.3390/jcm14092975.","Ioannidou A","J Clin Med","2025","2025/05/14","PMC12072307","","10.3390/jcm14092975"
"36226229","Atogepant for the prevention of episodic migraine in adults","Switzer MP, Robinson JE, Joyner KR, Morgan KW.","SAGE Open Med. 2022 Oct 6;10:20503121221128688. doi: 10.1177/20503121221128688. eCollection 2022.","Switzer MP","SAGE Open Med","2022","2022/10/13","PMC9549103","","10.1177/20503121221128688"
"40861394","Unlocking the potential of PubMed Central supplementary data files","Gobeill J, Caucheteur D, Flament A, Michel PA, Mottaz A, Pasche E, Ruch P.","Bioinform Adv. 2025 Jun 27;5(1):vbaf155. doi: 10.1093/bioadv/vbaf155. eCollection 2025.","Gobeill J","Bioinform Adv","2025","2025/08/27","PMC12371329","","10.1093/bioadv/vbaf155"
"25691835","Intestinal Research Is Now Registered in PubMed Central","Yang SK.","Intest Res. 2015 Jan;13(1):1. doi: 10.5217/ir.2015.13.1.1. Epub 2015 Jan 29.","Yang SK","Intest Res","2015","2015/02/19","PMC4316215","","10.5217/ir.2015.13.1.1"
"37626674","Modulating Hyperpolarization-Activated Cation Currents through Small Molecule Perturbations: Magnitude and Gating Control","Chen CS, So EC, Wu SN.","Biomedicines. 2023 Aug 2;11(8):2177. doi: 10.3390/biomedicines11082177.","Chen CS","Biomedicines","2023","2023/08/26","PMC10452073","","10.3390/biomedicines11082177"
"40937035","Priorities for Early Revascularization or Introduction of Mechanical Circulatory Support in Patients With Acute Coronary Syndrome Complicated by Cardiogenic Shock　- A Systematic Review and Meta-Analysis","Katasako-Yabumoto A, Sakamoto K, Hashiba K, Yamamoto T, Nakayama N, Hanada H, Nakashima T, Kirigaya J, Ishizu T, Hosoya Y, Kondo T, Okazaki Y, Yamamoto M, Osawa T, Arai M, Tahara Y, Nonogi H, Noguchi T, Tsujimoto Y, Kikuchi M, Matoba T; Japan Resuscitation Council (JRC) Cardiogenic Shock (CS) Task Force and the Guideline Editorial Committee on behalf of the Japanese Circulation Society (JCS) Emergency and Critical Care Committee.","Circ Rep. 2025 Jul 23;7(9):715-726. doi: 10.1253/circrep.CR-25-0098. eCollection 2025 Sep 10.","Katasako-Yabumoto A","Circ Rep","2025","2025/09/12","PMC12421136","","10.1253/circrep.CR-25-0098"
"24674581","The AALAS journals: 2013 in review","Toth LA, Compton SR, Tolwani RJ, Bagaglio MH.","Comp Med. 2014 Apr;64(2):86-9.","Toth LA","Comp Med","2014","2014/03/29","PMC3997284","",""
"35053757","The PACAP/PAC1 Receptor System and Feeding","Sureshkumar K, Saenz A, Ahmad SM, Lutfy K.","Brain Sci. 2021 Dec 23;12(1):13. doi: 10.3390/brainsci12010013.","Sureshkumar K","Brain Sci","2021","2022/01/21","PMC8773599","","10.3390/brainsci12010013"
"15809413","Making research accessible: National Institutes of Health (NIH) public access and PNAS open access policies","Cozzarelli NR.","Proc Natl Acad Sci U S A. 2005 Apr 12;102(15):5303. doi: 10.1073/pnas.0502201102. Epub 2005 Apr 4.","Cozzarelli NR","Proc Natl Acad Sci U S A","2005","2005/04/06","PMC556258","","10.1073/pnas.0502201102"
"36865730","Prevalence of Traumatic Injuries to Permanent Anterior Teeth and Predisposing Risk Factors among Government and Private School Children of Kakinada and Rajanagaram of East Godavari District","Panangipalli SS, Vasepalli M, Punithavathy R, Martha S, Birapu UC, Raparla M.","Int J Clin Pediatr Dent. 2022 Sep-Oct;15(5):596-602. doi: 10.5005/jp-journals-10005-2448.","Panangipalli SS","Int J Clin Pediatr Dent","2022","2023/03/03","PMC9973121","","10.5005/jp-journals-10005-2448"
"37351394","MH-SETUP, combining Kesling wax-setup with indirect bonding and custom-made brackets for labial/lingual techniques to eliminate the finishing phase","Elkolaly MA, Hasan HS.","J Orthod Sci. 2023 Mar 18;12:11. doi: 10.4103/jos.jos_60_22. eCollection 2023.","Elkolaly MA","J Orthod Sci","2023","2023/06/23","PMC10282520","","10.4103/jos.jos_60_22"
"35662895","Multi-angle data acquisition to compensate transducer finite size in photoacoustic tomography","Hakakzadeh S, Mozaffarzadeh M, Mostafavi SM, Kavehvash Z, Rajendran P, Verweij M, de Jong N, Pramanik M.","Photoacoustics. 2022 May 21;27:100373. doi: 10.1016/j.pacs.2022.100373. eCollection 2022 Sep.","Hakakzadeh S","Photoacoustics","2022","2022/06/06","PMC9157198","","10.1016/j.pacs.2022.100373"
"42076182","Low-Profile Piezoelectric Inertial Linear Actuator for High-Power Applications","Mažeika D, Bareikis R, Čeponis A.","Micromachines (Basel). 2026 Mar 26;17(4):405. doi: 10.3390/mi17040405.","Mažeika D","Micromachines (Basel)","2026","2026/05/04","PMC13117411","","10.3390/mi17040405"
"41356678","Insomnia and depression in Chinese academic researchers: mediation by anxiety and resilience with differences among researchers by educational level","Han L, He Y, Gong B, Liu T, Wen P, Zhong M, Ren Q, Wang H, Chen X.","Front Psychiatry. 2025 Nov 21;16:1709399. doi: 10.3389/fpsyt.2025.1709399. eCollection 2025.","Han L","Front Psychiatry","2025","2025/12/08","PMC12679156","","10.3389/fpsyt.2025.1709399"
"42088449","Smoking after lung transplantation: Incidence and risk factors in the French multicenter prospective tabatransplant cohort study","Pradère P, Couraud S, Feuillet S, Tissot A, Boussaud V, Murris M, Demant X, Saint Raymond C, Bunel V, Beaumont L, Kessler R, Merveilleux C, Reynaud-Gaubert M, Le Pavec J.","JHLT Open. 2026 Apr 2;13:100551. doi: 10.1016/j.jhlto.2026.100551. eCollection 2026 Aug.","Pradère P","JHLT Open","2026","2026/05/06","PMC13138217","","10.1016/j.jhlto.2026.100551"
"31205526","Prognostic Value of MTV, SUVmax and the T/N Ratio of PET/CT in Patients with Glioma: A Systematic Review and Meta-Analysis","Zhang Q, Gao X, Wei G, Qiu C, Qu H, Zhou X.","J Cancer. 2019 Apr 5;10(7):1707-1716. doi: 10.7150/jca.28605. eCollection 2019.","Zhang Q","J Cancer","2019","2019/06/18","PMC6548003","","10.7150/jca.28605"
"42245866","Evidence-Based Diagnostic and Therapeutic Methods for Thoracic Outlet Syndrome: A Systematic Review","Joshi AV, Shinde S, Chaudhary NS, Chaudhary S.","Cureus. 2026 May 4;18(5):e108241. doi: 10.7759/cureus.108241. eCollection 2026 May.","Joshi AV","Cureus","2026","2026/06/05","PMC13232675","","10.7759/cureus.108241"
"41268049","﻿Four new species of Entoloma subgen. Cubospora (Entolomataceae, Agaricales) from Yunnan Province, China","Liu ZW, Li J, Yang ZL, Cui YY.","MycoKeys. 2025 Nov 11;124:331-356. doi: 10.3897/mycokeys.124.171541. eCollection 2025.","Liu ZW","MycoKeys","2025","2025/11/21","PMC12628000","","10.3897/mycokeys.124.171541"
"34812217","Assessing internet and web services based webdom and virtual web-data-centric geographical study","Sahu AS.","GeoJournal. 2022;87(6):4991-5005. doi: 10.1007/s10708-021-10549-5. Epub 2021 Nov 18.","Sahu AS","GeoJournal","2022","2021/11/23","PMC8598398","","10.1007/s10708-021-10549-5"
"33858556","Central Nervous System Manifestations of COVID-19: A Critical Review and Proposed Research Agenda","Hewitt KC, Marra DE, Block C, Cysique LA, Drane DL, Haddad MM, Łojek E, McDonald CR, Reyes A, Eversole K, Bowers D.","J Int Neuropsychol Soc. 2022 Mar;28(3):311-325. doi: 10.1017/S1355617721000345. Epub 2021 Apr 16.","Hewitt KC","J Int Neuropsychol Soc","2022","2021/04/16","PMC10035233","NIHMS1881922","10.1017/S1355617721000345"
"36180911","Pharmacological mechanism and therapeutic efficacy of Icariside II in the treatment of acute ischemic stroke: a systematic review and network pharmacological analysis","Wang X, Li J, Liu L, Kan JM, Niu P, Yu ZQ, Ma C, Dong F, Han MX, Li J, Zhao DX.","BMC Complement Med Ther. 2022 Sep 30;22(1):253. doi: 10.1186/s12906-022-03732-9.","Wang X","BMC Complement Med Ther","2022","2022/09/30","PMC9526298","","10.1186/s12906-022-03732-9"
"35340831","Mediastinum indexed in PubMed Central: a new beginning for the new year","Fang W.","Mediastinum. 2022 Mar 25;6:1. doi: 10.21037/med-22-2. eCollection 2022.","Fang W","Mediastinum","2022","2022/03/28","PMC8841535","","10.21037/med-22-2"
"41088058","The significant prognostic value of the hemoglobin, albumin, lymphocyte, and platelet (HALP) score in digestive system cancers: a systematic review and meta-analysis","Qian C, Liu J, Meng C, Cheng J, Wu B, Liao J.","BMC Cancer. 2025 Oct 14;25(1):1577. doi: 10.1186/s12885-025-15068-x.","Qian C","BMC Cancer","2025","2025/10/14","PMC12523103","","10.1186/s12885-025-15068-x"
"","COVID-19 Pandemic Impact on Chronic Lymphocytic Leukemia (CLL) Patients' Preferences Towards Therapies: The Italian Experience (CHOICE Study)","Molica S, Laurenti L, Ghia P, Coscia M, Cuneo A, Gaidano G, Mauro F, Frustaci AM, Vallisa D, Pane F, Gualberti G, Iannella E, Finsinger P, Caira M, Sportoletti P.","Blood. 2021 Nov 23;138:4690. doi: 10.1182/blood-2021-148308. Epub 2021 Dec 24.","Molica S","Blood","2021","","PMC8701542","","10.1182/blood-2021-148308"
"37006773","Decarboxylative Triazolation Enables Direct Construction of Triazoles from Carboxylic Acids","Dang HT, Nguyen VD, Haug GC, Arman HD, Larionov OV.","JACS Au. 2023 Feb 16;3(3):813-822. doi: 10.1021/jacsau.2c00606. eCollection 2023 Mar 27.","Dang HT","JACS Au","2023","2023/04/03","PMC10052276","","10.1021/jacsau.2c00606"
"35006377","SARS-CoV-2 in pediatric cancer: a systematic review","Schlage S, Lehrnbecher T, Berner R, Simon A, Toepfner N.","Eur J Pediatr. 2022 Apr;181(4):1413-1427. doi: 10.1007/s00431-021-04338-y. Epub 2022 Jan 10.","Schlage S","Eur J Pediatr","2022","2022/01/10","PMC8744033","","10.1007/s00431-021-04338-y"
"","Every persistence must have an impact: PBJ is now indexed in PubMed Central","Moreira A, Araújo F, Pereira ADC.","Porto Biomed J. 2020 May 5;5(2):e69. doi: 10.1097/j.pbj.0000000000000069. eCollection 2020 Mar-Apr.","Moreira A","Porto Biomed J","2020","","PMC7722399","","10.1097/j.pbj.0000000000000069"
"37627144","Macroscopic Evaluation of Colon Cancer Resection Specimens","Jarrett R, West NP.","Cancers (Basel). 2023 Aug 15;15(16):4116. doi: 10.3390/cancers15164116.","Jarrett R","Cancers (Basel)","2023","2023/08/26","PMC10452811","","10.3390/cancers15164116"
"36778468","DHCR7 Expression Predicts Poor Outcomes and Mortality from Sepsis","Guirgis FW, Jacob V, Wu D, Henson M, Daly-Crews K, Hopson C, Black LP, DeVos EL, Sulaiman D, Labilloy G, Brusko TM, Shavit JA, Bertrand A, Feldhammer M, Baskovich B, Graim K, Datta S, Reddy ST.","Res Sq [Preprint]. 2023 Jan 30:rs.3.rs-2500497. doi: 10.21203/rs.3.rs-2500497/v1.","Guirgis FW","Res Sq","2023","2023/02/13","PMC9915766","","10.21203/rs.3.rs-2500497/v1"
"40673045","Venous Thromboembolism Therapy with Edoxaban in Daily Care Patients: Results from the DRESDEN NOAC REGISTRY","Tittl L, Köhler C, Marten S, Naue C, Beyer-Westendorf J.","TH Open. 2025 Jul 5;9:a26354840. doi: 10.1055/a-2635-4840. eCollection 2025.","Tittl L","TH Open","2025","2025/07/17","PMC12265392","","10.1055/a-2635-4840"
"18399723","Progress toward public access to science","Varmus H.","PLoS Biol. 2008 Apr 8;6(4):e101. doi: 10.1371/journal.pbio.0060101.","Varmus H","PLoS Biol","2008","2008/04/11","PMC2288632","","10.1371/journal.pbio.0060101"
"36431523","Effect of Impact Position on Repaired Composite Laminates Subjected to Multi-Impacts","Reis PNB, Coelho SRM, Bezazi A.","Materials (Basel). 2022 Nov 14;15(22):8039. doi: 10.3390/ma15228039.","Reis PNB","Materials (Basel)","2022","2022/11/26","PMC9693312","","10.3390/ma15228039"
"37892659","Reconstructive Procedures of the Auricular Concha after Cutaneous Oncologic Surgery: A Systematic Review","Moreno-Vazquez S, Antoñanzas J, Oteiza-Rius I, Redondo P, Salido-Vallejo R.","J Clin Med. 2023 Oct 14;12(20):6521. doi: 10.3390/jcm12206521.","Moreno-Vazquez S","J Clin Med","2023","2023/10/28","PMC10607053","","10.3390/jcm12206521"
"42094027","Personalized nutrition in haemodialysis: a scoping review of studies published between 2015 and 2025","Rojas-Pérez JF, González-Salvatierra S, Oncina-Cánovas A, Padial M, López-Jiménez V, Olveira G.","Clin Kidney J. 2026 Apr 16;19(5):sfag117. doi: 10.1093/ckj/sfag117. eCollection 2026 May.","Rojas-Pérez JF","Clin Kidney J","2026","2026/05/07","PMC13142157","","10.1093/ckj/sfag117"
